Opening,Opening.1,Title,Director,Cast,Studio,Year,Genres,Rating,Combined
JAN,1.0,ghost stories,Karan JoharDibakar BanerjeeZoya AkhtarAnurag Kashyap,Sobhita DhulipalaMrunal ThakurAvinash TiwaryJanhvi KapoorSurekha SikriRaghuvir YadavGulshan DevaiahVijay VarmaPavail GulatiJyoti SubhashEva Ameet PardeshiKitu GidwaniSumit Tandon,"RSVP Movies, Flying Unicorn Entertainment, Netflix",2020,Horror Thriller,4.3,karan johar dibakar banerjee zoya akhtar anurag kashyap sobhita dhulipala mrunal thakur avinash tiwary janhvi kapoor surekha sikri raghuvir yadav gulshan devaiah vijay varma pavail gulati jyoti subhash eva ameet pardeshi kitu gidwani sumit tandon horror thriller
JAN,3.0,bhangra paa le,Sneha Taurani,Sunny KaushalRukshar DhillonShriya Pilgaonkar,RSVP Movies,2020,Comedy Drama Music,6.1,sneha taurani sunny kaushal rukshar dhillon shriya pilgaonkar comedy drama music
JAN,3.0,sab kushal mangal,Karan Vishwanath Kashyap,Akshaye KhannaRiva KishanPriyank Sharma,One Up Entertainment,2020,Romance,6.1,karan vishwanath kashyap akshaye khanna riva kishan priyank sharma romance
JAN,3.0,shimla mirchi,Ramesh Sippy,Hema MaliniRajkummar RaoRakul Preet Singh,Viacom18 Motion Pictures,2020,Comedy Romance,4.6,ramesh sippy hema malini rajkummar rao rakul preet singh comedy romance
JAN,10.0,chhapaak,Meghna Gulzar,Deepika PadukoneVikrant Massey,"Fox Star Studios, Ka Productions, Mriga Films",2020,Biography Drama,5.1,meghna gulzar deepika padukone vikrant massey biography drama
JAN,10.0,tanhaji,Om Raut,Ajay DevgnSaif Ali KhanKajolSharad Kelkar,"Ajay Devgn FFilms, T-Series",2020,Action Biography Drama History,7.6,om raut ajay devgn saif ali khan kajol sharad kelkar action biography drama history
JAN,17.0,bunker,Jugal Raja,Abhijeet SinghArindita Kalita,Wagging Tail Entertainment,2020,Drama War,6.8,jugal raja abhijeet singh arindita kalita drama war
JAN,17.0,jai mummy di,Navjot Gulati,Sunny SinghSonnalli SeygallPoonam DhillonSupriya Pathak,"Luv Films, T-Series",2020,Comedy Drama Romance,3.6,navjot gulati sunny singh sonnalli seygall poonam dhillon supriya pathak comedy drama romance
JAN,24.0,panga,Ashwiny Iyer Tiwari,Kangana RanautJassi GillRicha ChadhaNeena Gupta,Fox Star Studios,2020,Drama Sport,6.8,ashwiny iyer tiwari kangana ranaut jassi gill richa chadha neena gupta drama sport
JAN,24.0,street dancer 3d,Remo D'Souza,Varun DhawanShraddha KapoorPrabhu DevaNora FatehiAparshakti KhuranaMurali SharmaRaghav JuyalDharmesh YelandePunit PathakJigar RupareliyaSonam Bajwa,"T-Series, Remo D'Souza Entertainment",2020,Drama Music,3.6,remo d' souza varun dhawan shraddha kapoor prabhu deva nora fatehi aparshakti khurana murali sharma raghav juyal dharmesh yelande punit pathak jigar rupareliya sonam bajwa drama music
JAN,31.0,gul makai,H.E. Amjad khan,Reem ShaikhAtul KulkarniDivya DuttaOm PuriArif ZakariaMukesh RishiAbhimanyu SinghPankaj Tripathi,Pen India Limited,2020,Biography Drama War,2.2,h. e. amjad khan reem shaikh atul kulkarni divya dutta om puri arif zakaria mukesh rishi abhimanyu singh pankaj tripathi biography drama war
JAN,31.0,happy hardy and heer,Raka,Himesh ReshammiyaSonia Mann,"HR Musik Limited, EYKA Films",2020,Comedy Romance,6.1,raka himesh reshammiya sonia mann comedy romance
JAN,31.0,jawaani jaaneman,Nitin Kakkar,Saif Ali KhanTabuAlaya Furniturewala,Pooja Entertainment,2020,Comedy,6.7,nitin kakkar saif ali khan tabu alaya furniturewala comedy
JAN,31.0,pagleaazam,"Vikas P Kavvthekaar, Aps Raghuvanshi",Aditya Pratap SinghMandeep Kaur MannnatSonia SharmaLiliputFaruqueRavi MannAbhinaye SharmaSahil PatelAmber Upadhyay,Aps Entertainment,2020,Comedy,4.7,"vikas p kavvthekaar, aps raghuvanshi aditya pratap singh mandeep kaur mannnat sonia sharma liliput faruque ravi mann abhinaye sharma sahil patel amber upadhyay comedy"
FEB,4.0,operation parindey,Sanjay Gadhvi,Amit SadhRahul DevAakash DahiyaRucha Inamdar,"Final Coast, Fluence Studios, Roll Kamera Motion Pictures, ZEE5",2020,Action Drama Thriller,4.8,sanjay gadhvi amit sadh rahul dev aakash dahiya rucha inamdar action drama thriller
FEB,7.0,hacked,Vikram Bhatt,Hina KhanRohan ShahMohit MalhotraSid Makkar,Zee Studios,2020,Thriller,4.2,vikram bhatt hina khan rohan shah mohit malhotra sid makkar thriller
FEB,7.0,kaanchli life in a slough,Dedipya Joshii,Sanjay MishraShikha Malhotra,Pisceann Pictures,2020,Drama,7.1,dedipya joshii sanjay mishra shikha malhotra drama
FEB,7.0,malang,Mohit Suri,Aditya Roy KapurDisha PataniAnil KapoorElli AvrRamAmruta Khanvilkar,"T-Series, Luv Films",2020,Action Crime Drama Romance Thriller,6.5,mohit suri aditya roy kapur disha patani anil kapoor elli avr ram amruta khanvilkar action crime drama romance thriller
FEB,7.0,shikara,Vidhu Vinod Chopra,Aadil KhanSadia Khateeb,"Vinod Chopra Films, Fox Star Studios",2020,Drama Romance,3.7,vidhu vinod chopra aadil khan sadia khateeb drama romance
FEB,14.0,love aaj kal,Imtiaz Ali,Kartik AaryanSara Ali KhanRandeep Hooda,"Jio Studios, Maddock Films, Reliance Entertainment, Window Seat Films",2020,Drama Romance,5.0,imtiaz ali kartik aaryan sara ali khan randeep hooda drama romance
FEB,14.0,shukranu,Bishnu Dev Halder,DivyennduShweta Basu PrasadSheetal Thakur,"Reliance Entertainment, ZEE5",2020,Drama,6.4,bishnu dev halder divyenndu shweta basu prasad sheetal thakur drama
FEB,21.0,bhoot – part one: the haunted ship,Bhanu Pratap Singh,Vicky KaushalBhumi Pednekar,Dharma Productions,2020,Horror Mystery Thriller,5.4,bhanu pratap singh vicky kaushal bhumi pednekar horror mystery thriller
FEB,21.0,the hundred bucks,Dushyant Pratap Singh,Kavita TripathiDinesh BawraJaid Shaikh,Dushyant Corporation,2020,Drama,5.0,dushyant pratap singh kavita tripathi dinesh bawra jaid shaikh drama
